niche,map_id,scenario,best_performance,combination
5000,20,5,1.9246850894835306,3
5000,1,5,1.9922056176870686,4
5000,2,5,1.6069405326763568,4
5000,3,5,2.1483935591706746,4
5000,4,5,2.646426789428651,4
5000,5,5,2.291785424917128,4
5000,6,5,2.0296132206373163,4
5000,7,5,2.8437851723260814,4
5000,8,5,1.984654689254507,4
5000,9,5,1.9825150193670724,4
5000,10,5,1.928132318390856,4
5000,11,5,1.6307691597745948,4
5000,12,5,1.6534052863025035,4
5000,13,5,2.659690630405777,4
5000,14,5,1.8219170022798061,4
5000,15,5,2.2548276093121644,4
5000,16,5,2.1051611664323118,4
5000,17,5,3.189101740319658,4
5000,18,5,1.9450768172937671,4
5000,19,5,2.939660058056643,4
5000,20,5,1.4768137674606017,4
5000,1,5,1.7575749444876219,5
5000,2,5,1.4914315225039458,5
5000,3,5,0.3411337685833698,5
5000,4,5,2.063901537436607,5
5000,5,5,2.1891235556753457,5
5000,6,5,1.7368756148552706,5
5000,7,5,1.126397146500074,5
5000,8,5,1.8201493256104502,5
5000,9,5,0.8799676776658477,5
5000,10,5,0.4621516400572995,5
5000,11,5,0.5309859654892555,5
5000,12,5,1.0203830061981989,5
5000,13,5,2.070968497296886,5
5000,14,5,0.8687397906371518,5
5000,15,5,1.1013728870851438,5
5000,16,5,0.7075049608485097,5
5000,17,5,1.6748796188110442,5
5000,18,5,1.1585486196710828,5
5000,19,5,0.6164045154710522,5
5000,20,5,1.1618086309633202,5
5000,1,5,1.1661656352269723,6
5000,2,5,3.047144218287156,6
5000,3,5,0.5871091410636715,6
5000,4,5,0.5475259661382843,6
5000,5,5,0.5626060056134623,6
5000,6,5,1.771688679749845,6
5000,7,5,1.3251342506773032,6
5000,8,5,0.6505795198665526,6
5000,9,5,0.9143051364776159,6
5000,10,5,0.8683180159746706,6
5000,11,5,0.8719129552141158,6
5000,12,5,0.9600668648649625,6
5000,13,5,1.2939453300535912,6
5000,14,5,1.4694759158615525,6
5000,15,5,0.5549691019675963,6
5000,16,5,0.5843880365349412,6
5000,17,5,0.4267421585522608,6
5000,18,5,0.5128680454493544,6
5000,19,5,0.6120882673288504,6
5000,20,5,0.7521997347241461,6
